Col 1,Col 2,Col 3,Col 4,Col 5,Source URL
Organs,Anga/Avayava,Aa'za,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
Ovary,Bijakosa,Khusyat-ur-Rahem/ Mabeez,Sinaipai,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
Penis,mehra/ liga,Qazeeb/ Zakar,Aan Kuri,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
Pharynx,Katha,Hulqoom/ Halaq,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
Placenta,apar,Masheemah,Nanjukkodi,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
Rennet,,Paneer maya,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
scalp,,Jild-e-raas,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
Semen,,Maadda-e-Tawleed,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
Silk Cocoon,bareama,Aabresham,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
Skin,carma,Jild/ Post,"Thol,Sarumam",,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
Snail,,Azfaar-ul-Teeb.,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
Spleen,plh,Tihaal,"Peeligam,Idappaattu eeral",,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
Temperament,,Mizaaj,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
Testicles,muka/vaa,Khusyah/ Khayah,Peeja uruppu,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
Thigh/s,Uru,Fakhiz/ Raan,Thodai,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
Tooth,,Sinn/ Daant,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
Trachea,vsanalik,Qasbat-ur-riyah,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
Upper Extremity,,Atraaf-e-Aala,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
Ureter,Mutravaha nalik,Haalib/ Haalibain,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
Urethra,mtramrga,Ehleel/ Majra-e-baul,"Neertharai,Moothira naalam",,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
Uterus,garbhaya,Rehm,Karuppai,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
Viscera,bhyntara anga,Ahsha,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
Vital Organ,Marma,Aaza-e-Raeesah,Mukkiya Uruppugal,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
Vulva,bhaga,Farj,Algul,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
Waist,Kai,Khaasira/ Kamar,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
