Col 1,Col 2,Col 3,Col 4,Col 5,Source URL
Cassia absus Linn.,cakuy,Chashmeezaj/Chaksu,"Kattukol, Karunganam, Edikkol,Mulaippaal vidai",,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Cassia fistula Linn.,ragvadha,Amaltaas/Kheyaar shanbar,"Kondrai, Aragoram, Idhali, Mathalai,Kiruthaamalam,Aakkuvadham, Konnei, Sarakonrai, Sarakonraipuli",golden shower,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Cassia senna Linn. var. senna Syn.,"svarapatr, mrkanik",Sana,"Nilavaagai,Aalakaalam,Thaalini,Kuyathinalagai,Kamathaayam","Indian Senna, Tinnevelly
Senna",https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Cedrus deodara,devadru,Deodar,"Devataaru,Iru thaaru,Thoon,Pathira tharugam,Thevatha surar maram, Tevadari","pinus deodara, himalayan cedar",https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Celastrus paniculatus Willd.,jyotimat,Malkangni/Nammilnaraa,"Athi parichan, Vaaluluvai, Kangkuni",staff tree,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Celosia argentea Linn.,itivraka,Bustaan afroz/Bartaaneequi/Sarwali/Kalgha/Taaj Kharoos,Pannaikeerai,silver cock's comb,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Centaurea behen Linn.,bahamana veta,Behman Safaid / Melyunas,,White Rhapontic,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Centauria centaurium,,Qanturiun kabir/Qanturiyun Ghaleez,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Centipeda minima,chikkik,Nakchikni,,spreading sneezeweed,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Cerasus mahaleb,,Habb-al-Mahlab,,"St Lucie cherry, Rock cherry, Mahaleb cherry",https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Ceratonia siliqua Linn.,,Kharnoob-e-Shami / Kharnoob / Qazt / Kharnoob-e-Bustaani,,"Carob-Bean Tree, Locust-Bean",https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Cheiranthus cheiri Linn.,todar surkha,Tudri,Paruppu keerai,"Wall-flower, Gilli Flower",https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Chenopodium album Linn.,"vstka, cill",Bathwa/Qataf/ Sarmaq,"Kattasambadam, Parupukkeerai","common lambsquarters, lambsquarters, lambsquarters goosefoot, white goosefoot",https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Chlorophytum arundinaceum Bak.,veta mual bheda,Musli Safaid,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Cicer arietinum Linn.,caaka,Nakhud/Chana,"Kondai kadalai,Sooram, Kadalaipulippu, Kadalai","chick pea, gram, bengal gram",https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Cichorium intybus Linn.,ksan,Kasni / Hindbaa,"Kashmiri keerai, Kashni","blue sailors, chicory, coffeeweed, Common chicory, succory,wild endive",https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Cinnamomum aromaticum,,Saleekhah/Taj,,"Chinese cinnamon,bastard cinnamon",https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Cinnamomum camphora,karpra,Kafoor,"Karpooram, Kanagasaram, Kuruvikodi, Palidam, Sasi,. Sandiran, Soman, Soodan, Indu","camphor laurel, camphor tree, camphortree, Camphor",https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Cinnamomum cassia,tvak,Qirfah,Lavangapattai,cassia,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Cinnamomum tamala Nees,"tejapatra, nalik",Sazaj Hindi/ Patraj,"Lavangapathri,Kattu karuvapattai, Kattu kirambu, Perialavangapattai, Thalisapatri",indian bark,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Cinnamomum zeylanicum Blume,tvak,Daarchini,"Ilavangapattai,Karuvappattai",cinnamon,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Cirsium tuberosum,,Shukaai/Baad-e-Aaward,,Knollen-Kratzdistel,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Citrullus colocynthis,indravru,Hanzal,"Pei kummatti,Kalingam,Pichi kaay,Vari thummatti",colocynth,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Citrullus lanatus,klinda,Tarbooz/Hindowaanah,"Tharbuza pazhalam, Poiychaviral","watermelon, wild watermelon",https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Citrus aurantium Linn.,"nraga amla, airvata",Leemu Kaghzi/ Hayyul Aalam Sagheer/Azarul fitr,"Naarangam,Naarthai,Orange, Kichchilippazham, Konghippazham, Pojanakkasthoori, Kamlaiapazham",sour orange,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Citrus limon,"jambra phala, nimbu",Utraj/Lemoon,Periya elumichai,lemon,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Citrus medica Linn.,bjapra,Beej Purah/Bajoorah/Turanj/ Naaranj,"Elumichai, Kadaranarathai, Kogilacham, Maruchagam,Pazham, Kommatti madulai, Narattampazham",citron,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Citrus reticulata Blanco,nraga,Gul-e-Bahar,"Kodakithuli, Kamala, Koorg kudagu orange",tangerine,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
