Col 1,Col 2,Col 3,Col 4,Col 5,Source URL
red,Rakta,Surkh/ahmar,,red,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
respiratory system,vasansansthana,Nizaam-e-Tanaffus,,respiratory system,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
rigor,,Larza,,rigor,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
Severe,Dra,shadeed,,Severe,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
Sugarcane product,,Gur,,Sugarcane product,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
Summer,,Saif,,Summer,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
Sun/Sunlight,Sryatpa/ tapa,Suraj/Shams,,Sun/Sunlight,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
surgery,,Jarahat,,surgery,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
Swelling,,Waram,,Inflammation,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
Thick liquid part of boiled rice,,Peech,,Thick liquid part of boiled rice,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
Toxic Drugs,,Sammi Advia,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
Ulcer/Ulcers,Vraa,Qarha/Qurooh,,Ulcer,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
Vapours,Vpa,Bukhaaraat,,Vapours,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
vessel,Ptra,Bartan,,vessel,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
Waste Products,,Fuzlaat,,Waste Products,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
weakness,Daurbalya,Zo'f,,weakness,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
Winter,ta tu,Shita/Mausam-e-Sarma,,Winter,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
