Col 1,Col 2,Col 3,Col 4,Col 5,Source URL
Celastrus paniculatus Willd.,jyotimat,Malkangni/Nammilnaraa,"Athi parichan, Vaaluluvai, Kangkuni",staff tree,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Chenopodium album Linn.,"vstka, cill",Bathwa/Qataf/ Sarmaq,"Kattasambadam, Parupukkeerai","common lambsquarters, lambsquarters, lambsquarters goosefoot, white goosefoot",https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Chlorophytum tuberosum Baker / Asparagus adscendens Roxb.,mual veta,,,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Cinnamomum camphora,karpra,Kafoor,"Karpooram, Kanagasaram, Kuruvikodi, Palidam, Sasi,. Sandiran, Soman, Soodan, Indu","camphor laurel, camphor tree, camphortree, Camphor",https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Cinnamomum cassia,tvak,Qirfah,Lavangapattai,cassia,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Cinnamomum tamala Nees,"tejapatra, nalik",Sazaj Hindi/ Patraj,"Lavangapathri,Kattu karuvapattai, Kattu kirambu, Perialavangapattai, Thalisapatri",indian bark,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Cinnamomum zeylanicum Blume,tvak,Daarchini,"Ilavangapattai,Karuvappattai",cinnamon,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Cissampelos pareira Linn.,ph,Paatha/Fareed Booti,"Appatta, Puniaittitta, Sina, Titta, Tuvan, Vattattiruppi",pareira brava,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Cissus quadrangularis Linn.,"asthisahta, asthikhal",,"Pirandai, Vajravalli, Indiravalli, Utthanasanjeevi,Uchiradam","Square Stalked Vine, Adamant Creeper",https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Citrullus colocynthis,indravru,Hanzal,"Pei kummatti,Kalingam,Pichi kaay,Vari thummatti",colocynth,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Citrus limon,"jambra phala, nimbu",Utraj/Lemoon,Periya elumichai,lemon,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Citrus medica Linn.,bjapra,Beej Purah/Bajoorah/Turanj/ Naaranj,"Elumichai, Kadaranarathai, Kogilacham, Maruchagam,Pazham, Kommatti madulai, Narattampazham",citron,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Cleome gynandra Linn.,"ajagandh, tilapar?",,"Thai velai, Nalvelai, Kadugu","spider whisp, spiderflower, spiderwisp",https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Clerodendrum divaricatum Jack Syn.,bhrag,Baharangi/Bharangi,"Ankaravalli, Siruthekku, Kanduparangi, Vathamadakki","Turks Turban, Tube-flower",https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Clerodendrum indicum,bhrag,Baharangi,"Kavalai, Narivalai",turk's turbin,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Clerodendrum multiflorum,"agnimantha laghu, tarkr",Taankal/Taankli/Arnie,"Thaluthazhai, Vathamadakki",,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Clitoria ternatea Linn.,"aparjit, akhapup",Abrajita,"Kakkarattan,Sangu pushbam,Kakkanam,Kakkanathi, Minni, Kumarimani",Asian pigeonwings,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Coccinia grandis,bimb,Kandoori/Bambi,"Kovai, Kuwai","ivy gourd, scarlet-fruited gourd",https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Cocos nucifera Linn.,nrikela,Narjeel/Naryal,"Thenkaai, Naalikeram, Poologakarpaga vritcham, Mudiyarasan, Mukkannan,Ilaangali,Thennai",coconut palm,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Coleus vettiveroides K.C. Jacob / Valeriana jatamansii Jones Syn.,"hrbera, blaka",,"Guru ver,Vetriver,Vizhal ver,Viranam,Iruveli",,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Commiphora myrrha,bola,Mur Makki / Beja Baul,"Vellaippapolam, Valendrapolam, Kungkumatheepam, Meeru",Actiniopteris,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Commiphora wightii Bhandari Syn.,guggulu,Muqil,"Maisaatchi kungilium, Gukkulu, Poonaikkan kungilium","Indian Bdellium, Gum Guggul",https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Convolvulus microphyllus Sieb. ex Spreng. Syn.,akhapup,,,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Corallocarpus epigaeus Benth. ex Hook. f.,"ukans, nahik",,"Aakaasa karudan,Kollankovai,Pei seendhil",,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Coriandrum sativum Linn.,dhnyaka,Kishneez,"Kottha malli,Urularisi,Dhaniya","Chinese parsley, Chinese-parsley, coriander",https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Crateva nurvala Buch. -Ham.,varua,Barna.,"Mavilingam, Kumaarakam, Varani, Maralingam",,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Crinum latifolium Linn.,sudarana,Sukh Darshan,Vishamoongil,Wide-leaved Crinum,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Crocus sativus Linn.,kukuma,Zafran/Gumr/ Gumrah,"Kungumapoo,Gnalal poo,Kashmiram","saffron crocus, Saffron",https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Croton tiglium Linn.,jayapla,Habb-al- Mulook/Maahudaana,"Nervaalam, Naganam, Saiyabalam,Nigumbam, Thendi, Chiduram, Shobi, Nagathenthi",purging croton,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Cryptolepis buchanani,"kasriv, jambpatr sriv",,,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Cucumis melo Linn.,ervru,Kakri/Kheyaarzah/Qissa,"Vellarikkai, Kakkarikkai",Snake Cucumber,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Cuminum cyminum Linn.,vetajraka,Zeerah,"Seerakam, Asai, Seeri, Posanakudori,Upakumba peesam,Pittha naasini,Prathivikaa,Methiyam","cumin, Cumin seed",https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Curculigo orchioides Gaertn.,"tlaml, mual",Musli Siyah,"Nilappanankizhanku,Vaaraagi,Kurathi,Chithi,Thalai thathu,Nila velumi,Thaalamooli,Thirana rasan",,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Curcuma amada Roxb.,haridr mragandhi,Aamba Haldi,"Maankaai inji, Mamediallam, Arukamilaka",mango ginger,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Curcuma zedoaria,"a, karcra",Tumiri/Kacchuri/ Kachuri/Zarambad,"Kichili kizhangu, Pulan kizhangu,Kacholam,Kachoram",zedoary,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Cymbopogon martini,rohiata,Teen-e-Makkah,Kaavattampullu,rosha grass,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Cynodon dactylon,drv,Doob / Najm,"Arukan pull, Patham, Moothandam, Dhurvaathi, Megari, Ganapathi pathiram","Bermudagrass, chiendent pied-de-poule, common bermudagrass, devilgrass, grama-seda, manienie, motie molulu",https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Cyperus rotundus Linn. / Cyperus scariosus R. Br. / Cyperus arundinaceum Baker,"mustaka, gaadrv",Nager motha/Saad Kufi / Sad Kufi,",muthakasu ,varaga patchani,korai kizhangu","chaguan humatag, cocograss, kili'o'opu, nutgrass, pakopako, purple nutsedge",https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Datura metel Linn. / Datura inoxia Mill. / Datura stramonium Linn.,dhattra,,"Vel oomatthai, Ponoomathai","Thornapple, Downy Datura",https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Dendrophthoe falcata,"bandka, sahar, vkdan",,"Ottunni,Pulluruvi, Ottu, Maravotti",,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Desmodium gangeticum,lapar,Patraheen/Salparni,Pulladi,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Desmostachya bipinnata,kua,Daab,"Tharuppai, Kumudham, Visuvaamiththiram, Kusaippul",Sacrificial Grass,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Dichrostachys cinerea,vrataru,,Vidatthalai,aroma,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Diospyros discolor Willd.,tinduka,,,mabolo,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Eclipta prostrata,bhgarja,Bhangra,"Kaiyanthakarai, Vellai karisalai","eclipta, false daisy",https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Elaeocarpus sphaericus,rudrka,,Uruthiraatcham,Utrasum Bead tree,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Elettaria cardamomum,skmail,Heel Khurd/Qaaqulah Sagheer,"Yaelakkai,Aanji,Dhudi,Korangam","cardamom, Lesser Cardamom",https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Embelia ribes Burm. f. / Embelia tsjeriam-cottam A. Dc Syn. E. robusta C.B Clarke,viaga,Baobarang/Babrang/Bakaj Kabuli/Abranj/Barnaq,"Vaayvidangam, Keralam, Varnanai, Vellal",Embelia.,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Erythrina variegata Linn.,pribhadra,Mandara,"Kalyana murungai, Parisatham, Mullu murungai, Muchi, Savuchayam, Vallai, Kinjugam",tiger's claw,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Euphorbia dracunculoides Lam.,saptal,,Tillakada,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Euphorbia neriifolia Linn.,snuh,Thuhar,"Ilaikalli, Manchevi kalli, Naynakki, Nadangi",Indian spurgetree,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Euphorbia thomsoniana Boiss. / Argemone mexicana Linn.,svarakr,,"Kudiyotti, Biramathandu, Brahmmathandu, Kurukkumchedi","Argemone mexicana-Prickly Poppy, Mexican Poppy",https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Euphorbia thymifolia Linn.,dugdhik,,"Chithirapaalaadai, Chiru ammaan pacharisi",,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Fagonia cretica Linn. / Alhagi pseudalhagi,dhanvaysa,Dhamaya/Dhamasa/Shukaai',Ootagamul or Korandimul.,"Camel Thorn, Persian Manna Plant",https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Feronia limonia,kapittha,Hab habu,"Ootagamul or Korandimul, Narivila, Kuttivila, Nilavila, Vilanga",Wood Apple,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Ferula foetida regel,higu,Hilteet/Heeng/Anjodaan,"Perungayam;Gayam,Pothanasam,Ingu,Santhunasam,Athiyakirakaram,Valeegam, Sagasthirabedhi",asafetida,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Ficus benghalensis Linn.,"nyagrodha, vaa",,"Aalamaram, Vadam, Pootham, Vanongi, Iyakkurotham, Pudavritcham, Vadavirukam, Palu maram, thol m",Indian banyan,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Ficus carica Linn.,"phalgu, bhadrodumbara",Injeer/Teen,"Seemaiatthi, Thaen atthi","common fig, edible fig, fiku, piku",https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Ficus hispid Linn.f.,"kkodumbara, phalgu malay",Teen-e-Banghali,"Paeyatti, Sonatti, Kattatti, Ottannalam,Malaiatti,Asamandham",,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Ficus racemosa Linn.,udumbara,Gular/ Jummaiz/Alaf Hindi,"Atthi, Atham, Athavu, Uthumbaram, Koli, Supirathashtam",clustertree,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Ficus religiosa Linn.,avattha,Peepal,"Arasu, Aswatham, Bodi, Kanavam, Pippilam, Megathurumam, Narayanam, , Vanagandhi, Thiru maram",peepul tree,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Ficus virens Ait.,plaka,,Kurugu,White Fig,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Foeniculum vulgare Mill.,"madhurik, mirey",Baadiyaan/Saunf/Baadiyaan Barri/Shivmaar/Shoomar/ Raazeyaana,"Shombu, Perungeeram, Sohikeerai","sweet fennel, Fennel",https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Fritillaria roylei Hook. / Withania somnifera,krakkol? kukku,,,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Fumaria indica Pugsley Syn.,parpaa bheda,Shaahtara / Shaahtraj,"Tharaa,Tusa, Tura,Pamba tharaa,Madhugam","fine-leaf fumitory, fineleaf fumitory, Small Flowered Fumitory",https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Fumaria vaillantii Loisel.,parpaa,,Thura,earthsmoke,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Garcinia cambogia Desr.,vkmla bheda,,"Kodukkapuli, Aradal",Gamboge tree,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Garcinia indica Chois.,vkmla,,Murgal,garcinia,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
